ssn,age,education,marital-status,relationship,sex,income
136-13-6136,33.0,,Separated,Not-in-family,Male,<=50K
502-50-2502,33.0,HS-grad,Married-civ-spouse,,,<=50K
703-70-3703,53.0,,Married-civ-spouse,,,
582-58-2582,28.0,10th,Never-married,Not-in-family,,>50K
868-86-8868,27.0,Some-college,Never-married,Other-relative,Male,
128-12-8128,36.0,,Never-married,Not-in-family,,<=50K
189-18-9189,29.0,HS-grad,,,Male,<=50K
564-56-4564,64.0,Some-college,Married-civ-spouse,Husband,,>50K
836-83-6836,28.0,HS-grad,Married-civ-spouse,Husband,,>50K
574-57-4574,39.0,,Separated,,Female,>50K
408-40-8408,,Bachelors,Married-civ-spouse,Husband,Male,
692-69-2692,44.0,,,Husband,,<=50K
230-23-0230,66.0,HS-grad,Married-civ-spouse,Husband,,
199-19-9199,,Some-college,Divorced,Not-in-family,,
819-81-9819,53.0,Some-college,Divorced,Not-in-family,,
722-72-2722,49.0,Prof-school,Divorced,Unmarried,Male,>50K
030-03-0030,,HS-grad,Divorced,Own-child,Male,>50K
729-72-9729,,Bachelors,Never-married,Unmarried,Male,
244-24-4244,38.0,Bachelors,Married-civ-spouse,Husband,,>50K
949-94-9949,21.0,Assoc-voc,Married-civ-spouse,Husband,Male,
210-21-0210,32.0,Assoc-voc,,Not-in-family,,<=50K
671-67-1671,22.0,,Never-married,Not-in-family,,<=50K
771-77-1771,37.0,Bachelors,Married-civ-spouse,,Male,
201-20-1201,22.0,,Never-married,,Female,<=50K
303-30-3303,43.0,,Widowed,Not-in-family,,<=50K
047-04-7047,33.0,Masters,Never-married,Not-in-family,Male,<=50K
229-22-9229,76.0,Masters,Married-civ-spouse,Husband,Male,>50K
096-09-6096,,Bachelors,,Other-relative,,<=50K
569-56-9569,39.0,,,,Female,<=50K
373-37-3373,30.0,HS-grad,Never-married,Not-in-family,Female,
998-99-8998,45.0,Some-college,Married-civ-spouse,,Male,
403-40-3403,76.0,Masters,Married-civ-spouse,Husband,Male,
716-71-6716,34.0,11th,Never-married,Not-in-family,,<=50K
160-16-0160,40.0,,,,Female,
180-18-0180,29.0,,Never-married,,,<=50K
105-10-5105,38.0,HS-grad,Never-married,Not-in-family,Female,<=50K
519-51-9519,33.0,Masters,Never-married,Not-in-family,,
761-76-1761,31.0,HS-grad,Never-married,Unmarried,Female,<=50K
022-02-2022,41.0,Prof-school,Married-civ-spouse,Husband,Male,
115-11-5115,30.0,Bachelors,Divorced,Not-in-family,Male,
906-90-6906,34.0,,,,,<=50K
465-46-5465,40.0,Some-college,Married-civ-spouse,Husband,Male,
967-96-7967,50.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
664-66-4664,34.0,Some-college,Married-civ-spouse,Husband,Male,
181-18-1181,,Some-college,Never-married,Not-in-family,Male,
780-78-0780,63.0,Masters,Married-civ-spouse,,,
760-76-0760,20.0,Some-college,Never-married,Not-in-family,Male,<=50K
576-57-6576,28.0,Masters,Married-civ-spouse,Husband,Male,<=50K
227-22-7227,39.0,Masters,,,Male,>50K
167-16-7167,24.0,Bachelors,Never-married,,Male,
074-07-4074,35.0,Bachelors,,Husband,Male,
926-92-6926,53.0,5th-6th,,,,<=50K
178-17-8178,49.0,,,Husband,,
642-64-2642,46.0,Some-college,,Husband,Male,
202-20-2202,52.0,HS-grad,,Not-in-family,Female,>50K
024-02-4024,27.0,Some-college,Never-married,Not-in-family,,<=50K
530-53-0530,32.0,,Never-married,,,
905-90-5905,49.0,HS-grad,Divorced,Not-in-family,,<=50K
221-22-1221,66.0,,Separated,Not-in-family,Male,
209-20-9209,42.0,HS-grad,Never-married,Not-in-family,,
223-22-3223,30.0,,Married-civ-spouse,Husband,Male,>50K
439-43-9439,20.0,,Never-married,Own-child,Male,<=50K
186-18-6186,50.0,HS-grad,Divorced,Not-in-family,Male,<=50K
491-49-1491,17.0,,Never-married,Own-child,Female,
984-98-4984,35.0,,Never-married,Not-in-family,Male,<=50K
601-60-1601,41.0,HS-grad,Divorced,Own-child,Male,<=50K
617-61-7617,,12th,Never-married,Own-child,,
182-18-2182,24.0,Some-college,Never-married,Own-child,,
924-92-4924,35.0,HS-grad,Separated,Unmarried,,<=50K
942-94-2942,19.0,,Never-married,Not-in-family,,
742-74-2742,34.0,Some-college,,Wife,,
267-26-7267,43.0,,Divorced,Not-in-family,,
800-80-0800,28.0,11th,,Husband,Male,<=50K
522-52-2522,27.0,,Never-married,Other-relative,Male,
372-37-2372,24.0,Some-college,Never-married,Own-child,,
804-80-4804,45.0,Assoc-acdm,Divorced,Unmarried,,
934-93-4934,49.0,9th,Married-civ-spouse,Husband,Male,
821-82-1821,48.0,,Never-married,Unmarried,Female,
921-92-1921,,Bachelors,Never-married,Own-child,Female,<=50K
739-73-9739,18.0,7th-8th,Never-married,Own-child,Male,
916-91-6916,43.0,HS-grad,Married-civ-spouse,,Male,
177-17-7177,44.0,HS-grad,Married-civ-spouse,Husband,,
702-70-2702,45.0,Bachelors,Married-spouse-absent,Unmarried,,
396-39-6396,,Some-college,Never-married,Own-child,,
867-86-7867,20.0,Some-college,Never-married,Own-child,Female,
874-87-4874,50.0,,Divorced,Not-in-family,,<=50K
788-78-8788,59.0,HS-grad,Married-civ-spouse,Husband,,>50K
544-54-4544,39.0,,Married-civ-spouse,Husband,Male,>50K
508-50-8508,34.0,,Divorced,Not-in-family,Male,
001-00-1001,56.0,,Married-civ-spouse,Husband,,
936-93-6936,21.0,Some-college,Never-married,,Female,<=50K
828-82-8828,37.0,HS-grad,Divorced,Not-in-family,,
414-41-4414,41.0,Bachelors,Married-civ-spouse,Husband,,<=50K
711-71-1711,46.0,HS-grad,Married-civ-spouse,,Male,<=50K
055-05-5055,24.0,,Never-married,Not-in-family,Male,
504-50-4504,31.0,,Married-civ-spouse,,Male,<=50K
919-91-9919,34.0,Some-college,Married-civ-spouse,Husband,,<=50K
643-64-3643,43.0,,Divorced,Unmarried,,
494-49-4494,68.0,10th,Married-civ-spouse,Wife,Female,<=50K
911-91-1911,44.0,Bachelors,Never-married,Own-child,Female,
918-91-8918,21.0,HS-grad,Never-married,Own-child,Female,<=50K
590-59-0590,,HS-grad,Married-civ-spouse,,Female,
675-67-5675,66.0,,,Husband,,<=50K
540-54-0540,39.0,,Married-civ-spouse,Wife,,>50K
640-64-0640,,Bachelors,,Not-in-family,Female,
237-23-7237,42.0,HS-grad,,Unmarried,Female,<=50K
179-17-9179,,HS-grad,Separated,Unmarried,,<=50K
400-40-0400,60.0,10th,,Husband,,<=50K
038-03-8038,,Bachelors,,,Male,
987-98-7987,,Bachelors,Married-civ-spouse,Husband,,
086-08-6086,17.0,HS-grad,Never-married,,Female,
632-63-2632,28.0,Masters,,Husband,Male,<=50K
749-74-9749,32.0,HS-grad,Separated,Unmarried,,<=50K
065-06-5065,,,Married-civ-spouse,Husband,Male,<=50K
093-09-3093,29.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
766-76-6766,27.0,Bachelors,,Unmarried,,<=50K
611-61-1611,72.0,Some-college,Married-civ-spouse,Husband,,>50K
421-42-1421,36.0,Some-college,Never-married,Not-in-family,Male,<=50K
803-80-3803,,Masters,Married-civ-spouse,Husband,Male,<=50K
847-84-7847,24.0,Bachelors,,,Male,<=50K
974-97-4974,48.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
084-08-4084,35.0,,Married-civ-spouse,Husband,,>50K
732-73-2732,23.0,HS-grad,Never-married,Not-in-family,Male,
217-21-7217,49.0,12th,Separated,Unmarried,,<=50K
621-62-1621,29.0,,Divorced,Not-in-family,Female,
512-51-2512,17.0,Some-college,Never-married,Own-child,Female,<=50K
450-45-0450,18.0,Some-college,Never-married,Own-child,,
741-74-1741,21.0,Some-college,Never-married,Own-child,,
025-02-5025,,Some-college,,Husband,Male,<=50K
787-78-7787,50.0,Assoc-voc,Married-civ-spouse,Husband,,
625-62-5625,83.0,,Widowed,Not-in-family,Female,
850-85-0850,48.0,Masters,,Not-in-family,Female,
505-50-5505,41.0,,Married-civ-spouse,,,>50K
423-42-3423,29.0,HS-grad,Married-civ-spouse,Wife,,>50K
776-77-6776,,Some-college,Widowed,Not-in-family,,
422-42-2422,35.0,Some-college,Divorced,Not-in-family,,<=50K
399-39-9399,39.0,Some-college,,,Female,>50K
145-14-5145,34.0,,Married-spouse-absent,Unmarried,,
848-84-8848,,,Married-civ-spouse,,Male,>50K
923-92-3923,25.0,Some-college,,Other-relative,Male,<=50K
184-18-4184,35.0,,Married-civ-spouse,Wife,,>50K
613-61-3613,47.0,HS-grad,,Not-in-family,,>50K
872-87-2872,19.0,HS-grad,Married-civ-spouse,,,<=50K
993-99-3993,43.0,HS-grad,,Wife,,<=50K
509-50-9509,39.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
305-30-5305,31.0,,Married-civ-spouse,,Male,<=50K
112-11-2112,31.0,,,Own-child,Female,
159-15-9159,40.0,5th-6th,Married-civ-spouse,Husband,,
188-18-8188,32.0,Bachelors,Married-civ-spouse,Husband,,<=50K
449-44-9449,38.0,Masters,Married-civ-spouse,Husband,,<=50K
436-43-6436,33.0,,Never-married,Not-in-family,,
334-33-4334,,9th,Never-married,Unmarried,,<=50K
523-52-3523,22.0,,Married-civ-spouse,Husband,Male,
683-68-3683,21.0,10th,,Not-in-family,,
592-59-2592,32.0,Some-college,Divorced,Unmarried,Female,<=50K
050-05-0050,43.0,HS-grad,Married-civ-spouse,Husband,,>50K
437-43-7437,46.0,Bachelors,,,,<=50K
406-40-6406,32.0,Masters,,,,<=50K
051-05-1051,,7th-8th,Married-civ-spouse,,Male,>50K
552-55-2552,33.0,HS-grad,Married-civ-spouse,,Male,>50K
433-43-3433,52.0,,,Husband,Male,
622-62-2622,45.0,Masters,Married-civ-spouse,,Male,
117-11-7117,58.0,,,,Male,>50K
781-78-1781,,,Married-civ-spouse,Husband,Male,<=50K
878-87-8878,73.0,HS-grad,,Husband,,<=50K
066-06-6066,52.0,Masters,Married-civ-spouse,Husband,,
164-16-4164,47.0,,Divorced,,Male,<=50K
139-13-9139,33.0,,Married-civ-spouse,,,
027-02-7027,22.0,Assoc-acdm,,Own-child,,<=50K
937-93-7937,20.0,Some-college,Never-married,,Male,<=50K
011-01-1011,28.0,Assoc-acdm,,,Female,<=50K
980-98-0980,37.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
100-10-0100,40.0,,,Husband,,<=50K
493-49-3493,56.0,Bachelors,Widowed,,Male,
389-38-9389,,Bachelors,Married-civ-spouse,,,
458-45-8458,22.0,Bachelors,Never-married,Not-in-family,Male,
891-89-1891,21.0,5th-6th,,Not-in-family,Male,<=50K
707-70-7707,44.0,HS-grad,Married-civ-spouse,Husband,Male,
392-39-2392,52.0,,Widowed,Unmarried,Female,
679-67-9679,64.0,HS-grad,Married-civ-spouse,Wife,Female,
255-25-5255,,Bachelors,,,Female,<=50K
812-81-2812,,,Married-civ-spouse,,,
445-44-5445,35.0,Masters,Never-married,Own-child,Female,<=50K
913-91-3913,33.0,HS-grad,Never-married,,Male,<=50K
419-41-9419,23.0,Bachelors,,Other-relative,,
586-58-6586,49.0,10th,Married-civ-spouse,Husband,Male,
143-14-3143,45.0,Bachelors,Married-civ-spouse,Husband,,>50K
977-97-7977,62.0,HS-grad,,,Male,
855-85-5855,22.0,,Married-civ-spouse,,Male,
915-91-5915,42.0,,,Other-relative,Male,
822-82-2822,44.0,,,Husband,,
653-65-3653,29.0,Bachelors,Married-civ-spouse,Husband,,
898-89-8898,26.0,Masters,Married-spouse-absent,Unmarried,Male,
258-25-8258,64.0,,Married-civ-spouse,Husband,,<=50K
171-17-1171,18.0,,Never-married,Own-child,Female,<=50K
961-96-1961,37.0,HS-grad,Married-civ-spouse,,Male,
365-36-5365,23.0,Some-college,Never-married,Own-child,Male,<=50K
515-51-5515,37.0,Assoc-acdm,Never-married,Unmarried,Female,<=50K
261-26-1261,,Bachelors,,Own-child,,<=50K
404-40-4404,36.0,,,Husband,Male,
764-76-4764,61.0,Some-college,Widowed,,Female,
507-50-7507,23.0,9th,,,Male,<=50K
380-38-0380,30.0,,Divorced,Not-in-family,,<=50K
384-38-4384,32.0,,Married-civ-spouse,,Male,<=50K
193-19-3193,33.0,HS-grad,Divorced,,Female,<=50K
745-74-5745,49.0,,Married-civ-spouse,,Male,<=50K
834-83-4834,34.0,HS-grad,Married-civ-spouse,Husband,,<=50K
684-68-4684,52.0,Some-college,,,Male,>50K
796-79-6796,43.0,HS-grad,,Husband,,<=50K
386-38-6386,34.0,,Married-civ-spouse,Husband,Male,
412-41-2412,37.0,Bachelors,Divorced,Not-in-family,,
026-02-6026,45.0,Bachelors,,Husband,,<=50K
837-83-7837,23.0,11th,,Other-relative,,
901-90-1901,58.0,,,Husband,,>50K
174-17-4174,45.0,,Divorced,Not-in-family,Male,
594-59-4594,51.0,,,Not-in-family,Female,<=50K
939-93-9939,42.0,HS-grad,,Husband,Male,>50K
205-20-5205,21.0,HS-grad,Never-married,Own-child,,
718-71-8718,35.0,Bachelors,Never-married,,Male,
343-34-3343,32.0,HS-grad,Married-civ-spouse,Husband,Male,
163-16-3163,33.0,Some-college,,Husband,Male,<=50K
982-98-2982,19.0,HS-grad,,Own-child,Female,<=50K
890-89-0890,52.0,HS-grad,Divorced,Unmarried,Female,<=50K
853-85-3853,22.0,Assoc-voc,Never-married,Own-child,Female,
397-39-7397,43.0,Bachelors,,,Female,
266-26-6266,47.0,HS-grad,Married-civ-spouse,Husband,Male,
220-22-0220,44.0,Masters,Divorced,Not-in-family,Female,
368-36-8368,,Assoc-voc,Divorced,,Male,<=50K
353-35-3353,23.0,HS-grad,Never-married,,,
897-89-7897,68.0,,Married-civ-spouse,,Male,
566-56-6566,19.0,,Never-married,Own-child,,<=50K
637-63-7637,39.0,,,,Female,
277-27-7277,34.0,Some-college,,Unmarried,Female,<=50K
120-12-0120,40.0,Some-college,Married-civ-spouse,Husband,Male,
307-30-7307,33.0,,Never-married,Own-child,Female,
498-49-8498,26.0,Bachelors,Never-married,Own-child,Male,<=50K
109-10-9109,18.0,Some-college,,Own-child,Female,<=50K
153-15-3153,42.0,11th,Divorced,Unmarried,Female,<=50K
468-46-8468,61.0,10th,,Husband,Male,>50K
169-16-9169,33.0,,Never-married,,Male,<=50K
395-39-5395,29.0,HS-grad,,Not-in-family,,>50K
538-53-8538,23.0,HS-grad,Divorced,Not-in-family,,<=50K
448-44-8448,23.0,Bachelors,Never-married,,,<=50K
257-25-7257,27.0,Bachelors,Never-married,,Female,<=50K
677-67-7677,23.0,HS-grad,,Own-child,,<=50K
009-00-9009,29.0,HS-grad,Never-married,Not-in-family,Male,<=50K
350-35-0350,19.0,10th,Never-married,Own-child,Male,
078-07-8078,18.0,11th,Married-civ-spouse,Wife,,<=50K
783-78-3783,64.0,,Married-civ-spouse,,,<=50K
462-46-2462,27.0,Bachelors,Never-married,,Male,
081-08-1081,40.0,Bachelors,,Unmarried,Female,<=50K
344-34-4344,55.0,HS-grad,Divorced,,Female,
268-26-8268,38.0,,Married-civ-spouse,Husband,,>50K
644-64-4644,21.0,Some-college,Never-married,,,
233-23-3233,27.0,HS-grad,Never-married,Not-in-family,Female,
838-83-8838,37.0,Assoc-voc,Divorced,Unmarried,Male,<=50K
928-92-8928,41.0,Bachelors,Divorced,Not-in-family,Male,<=50K
087-08-7087,32.0,,,Not-in-family,Female,<=50K
914-91-4914,56.0,Masters,,Husband,Male,
962-96-2962,51.0,12th,Divorced,Other-relative,Female,<=50K
895-89-5895,,HS-grad,Married-civ-spouse,Husband,,
097-09-7097,19.0,,Never-married,Not-in-family,Male,
140-14-0140,77.0,Some-college,,,Male,
289-28-9289,33.0,Bachelors,,Husband,Male,>50K
596-59-6596,67.0,Masters,,,Female,>50K
791-79-1791,47.0,,Married-civ-spouse,Husband,,<=50K
252-25-2252,,Prof-school,Married-civ-spouse,,,<=50K
183-18-3183,52.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
149-14-9149,32.0,11th,Separated,Not-in-family,,<=50K
142-14-2142,40.0,1st-4th,Married-civ-spouse,,,<=50K
990-99-0990,34.0,HS-grad,Married-civ-spouse,,Male,
806-80-6806,32.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
831-83-1831,30.0,Assoc-acdm,Married-civ-spouse,,Male,<=50K
280-28-0280,39.0,HS-grad,,Own-child,Female,>50K
866-86-6866,48.0,,Married-civ-spouse,,Male,
434-43-4434,31.0,Some-college,,Unmarried,,<=50K
328-32-8328,39.0,Some-college,,Unmarried,Female,<=50K
567-56-7567,23.0,Bachelors,Never-married,Own-child,Female,
310-31-0310,25.0,Some-college,Never-married,,,<=50K
479-47-9479,20.0,HS-grad,Never-married,,Female,<=50K
774-77-4774,,Doctorate,Divorced,Not-in-family,Male,
887-88-7887,20.0,HS-grad,,Own-child,Male,
792-79-2792,27.0,HS-grad,Divorced,Not-in-family,Male,
456-45-6456,45.0,Bachelors,Married-civ-spouse,Husband,,<=50K
130-13-0130,21.0,HS-grad,Never-married,,Male,
627-62-7627,68.0,HS-grad,Married-civ-spouse,,,
141-14-1141,52.0,,Married-civ-spouse,Husband,Male,>50K
609-60-9609,,,Never-married,Not-in-family,,<=50K
797-79-7797,43.0,,Never-married,Unmarried,,
957-95-7957,31.0,,Married-civ-spouse,Husband,,<=50K
218-21-8218,41.0,,Never-married,Not-in-family,,<=50K
651-65-1651,,1st-4th,Married-civ-spouse,Husband,Male,
531-53-1531,42.0,,Divorced,,Male,
276-27-6276,29.0,,,Not-in-family,,
304-30-4304,67.0,,Divorced,Not-in-family,Male,
347-34-7347,33.0,Masters,Married-civ-spouse,Husband,Male,<=50K
215-21-5215,17.0,11th,Never-married,Own-child,,<=50K
052-05-2052,30.0,,Married-civ-spouse,Husband,Male,
281-28-1281,33.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
300-30-0300,61.0,,Married-civ-spouse,Husband,Male,>50K
075-07-5075,37.0,Some-college,,Husband,Male,
152-15-2152,39.0,,Never-married,,Male,<=50K
602-60-2602,33.0,HS-grad,,,Female,<=50K
068-06-8068,70.0,Some-college,Divorced,,Female,<=50K
678-67-8678,,HS-grad,Never-married,Own-child,,
960-96-0960,,HS-grad,Never-married,Not-in-family,,
556-55-6556,34.0,7th-8th,,Not-in-family,,
057-05-7057,,,Married-civ-spouse,Husband,Male,>50K
028-02-8028,55.0,Bachelors,Never-married,Not-in-family,Female,
231-23-1231,47.0,,,Husband,,
176-17-6176,31.0,,Married-spouse-absent,Own-child,Female,<=50K
308-30-8308,26.0,,Never-married,Not-in-family,Female,<=50K
192-19-2192,27.0,9th,Never-married,Own-child,Male,<=50K
240-24-0240,,Bachelors,,Not-in-family,,
873-87-3873,29.0,HS-grad,,,Male,>50K
529-52-9529,38.0,HS-grad,,,Female,
581-58-1581,40.0,Masters,Married-civ-spouse,Wife,,>50K
348-34-8348,54.0,HS-grad,Divorced,Unmarried,,>50K
298-29-8298,62.0,HS-grad,Widowed,Not-in-family,Female,<=50K
432-43-2432,24.0,,,Own-child,Female,
254-25-4254,37.0,,Married-civ-spouse,Husband,Male,>50K
099-09-9099,61.0,Bachelors,Widowed,Not-in-family,Female,<=50K
695-69-5695,59.0,,Married-civ-spouse,Husband,Male,<=50K
835-83-5835,22.0,,Never-married,Not-in-family,Male,
317-31-7317,25.0,HS-grad,,Other-relative,Male,
405-40-5405,29.0,Some-college,Never-married,Own-child,Male,<=50K
137-13-7137,21.0,Some-college,Never-married,Own-child,,
330-33-0330,38.0,HS-grad,,Husband,,
251-25-1251,21.0,9th,,Not-in-family,,
351-35-1351,41.0,Some-college,Married-civ-spouse,Husband,Male,>50K
224-22-4224,30.0,Some-college,,,Male,>50K
810-81-0810,45.0,Some-college,Divorced,Not-in-family,,<=50K
945-94-5945,23.0,,Married-civ-spouse,Other-relative,,
114-11-4114,,,Never-married,Own-child,,
649-64-9649,,Bachelors,Married-civ-spouse,Husband,Male,<=50K
546-54-6546,33.0,Some-college,Married-civ-spouse,Husband,,
041-04-1041,31.0,HS-grad,Never-married,,,
786-78-6786,29.0,Some-college,Married-civ-spouse,Husband,,<=50K
003-00-3003,37.0,Some-college,Married-civ-spouse,Husband,,
370-37-0370,19.0,,Never-married,Own-child,,
401-40-1401,44.0,Assoc-voc,Married-civ-spouse,Husband,Male,
318-31-8318,35.0,HS-grad,Divorced,Other-relative,Male,
662-66-2662,35.0,Some-college,,Husband,,<=50K
789-78-9789,61.0,,Married-civ-spouse,Husband,Male,
102-10-2102,53.0,Some-college,Married-civ-spouse,,,
239-23-9239,,Some-college,Never-married,Unmarried,,<=50K
226-22-6226,34.0,,Never-married,,Female,<=50K
931-93-1931,77.0,10th,Married-civ-spouse,Husband,Male,
165-16-5165,56.0,Assoc-acdm,,Husband,,<=50K
541-54-1541,32.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
388-38-8388,44.0,Masters,Married-civ-spouse,,,
309-30-9309,28.0,HS-grad,,Not-in-family,Male,
489-48-9489,65.0,,Married-civ-spouse,,Female,>50K
360-36-0360,21.0,Some-college,Never-married,Own-child,Male,
416-41-6416,27.0,,,Not-in-family,Female,
726-72-6726,25.0,Some-college,,Husband,Male,
815-81-5815,34.0,Bachelors,Never-married,Own-child,Male,
501-50-1501,52.0,7th-8th,Married-civ-spouse,Husband,Male,
559-55-9559,42.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
107-10-7107,40.0,HS-grad,Divorced,Unmarried,Female,
059-05-9059,20.0,Some-college,,Own-child,Male,
411-41-1411,37.0,,Married-civ-spouse,,Male,<=50K
442-44-2442,18.0,,Never-married,Own-child,,
829-82-9829,25.0,HS-grad,Never-married,Not-in-family,Male,
103-10-3103,,12th,Never-married,Not-in-family,,<=50K
194-19-4194,28.0,,Never-married,Not-in-family,Male,
785-78-5785,64.0,Some-college,Married-civ-spouse,Husband,,<=50K
049-04-9049,55.0,Bachelors,Married-civ-spouse,,Male,>50K
393-39-3393,26.0,HS-grad,Never-married,Unmarried,,
472-47-2472,44.0,Bachelors,Never-married,Not-in-family,Male,
430-43-0430,21.0,,Never-married,Not-in-family,Male,
339-33-9339,50.0,,Never-married,Not-in-family,,<=50K
060-06-0060,44.0,,Married-civ-spouse,Husband,,<=50K
941-94-1941,58.0,Some-college,Divorced,,,<=50K
570-57-0570,37.0,Bachelors,Married-civ-spouse,,Male,>50K
920-92-0920,,,Married-civ-spouse,Husband,,
020-02-0020,18.0,HS-grad,Never-married,Own-child,Male,<=50K
302-30-2302,29.0,Some-college,Separated,,Male,
158-15-8158,52.0,HS-grad,Married-civ-spouse,Wife,Female,
053-05-3053,38.0,HS-grad,Never-married,,,
260-26-0260,25.0,HS-grad,,Not-in-family,Male,<=50K
734-73-4734,24.0,Some-college,Never-married,,Male,<=50K
212-21-2212,58.0,HS-grad,Married-civ-spouse,,,<=50K
216-21-6216,37.0,Some-college,Married-civ-spouse,Husband,,
763-76-3763,71.0,5th-6th,Married-civ-spouse,,Male,
446-44-6446,50.0,Assoc-voc,Divorced,Unmarried,Female,
976-97-6976,35.0,Assoc-voc,Never-married,Own-child,,
736-73-6736,32.0,,Married-civ-spouse,,Male,>50K
728-72-8728,41.0,,Married-civ-spouse,Husband,,
694-69-4694,74.0,,Married-civ-spouse,Husband,,<=50K
978-97-8978,50.0,,Married-civ-spouse,Husband,,<=50K
106-10-6106,20.0,Some-college,Never-married,Own-child,Male,
010-01-0010,50.0,Masters,Married-civ-spouse,Husband,,>50K
245-24-5245,,,Married-civ-spouse,Husband,,
667-66-7667,52.0,,,Husband,Male,<=50K
207-20-7207,25.0,,Married-civ-spouse,,Male,<=50K
772-77-2772,36.0,Prof-school,,Husband,Male,<=50K
474-47-4474,21.0,,Married-civ-spouse,Wife,,<=50K
688-68-8688,34.0,,Married-civ-spouse,Husband,Male,
294-29-4294,,HS-grad,Married-civ-spouse,Husband,,
299-29-9299,,Some-college,Never-married,Not-in-family,,<=50K
361-36-1361,29.0,HS-grad,Never-married,Unmarried,Female,
735-73-5735,35.0,,Divorced,Not-in-family,,<=50K
234-23-4234,44.0,,,Own-child,,<=50K
805-80-5805,,HS-grad,,,Male,>50K
312-31-2312,21.0,,Never-married,Own-child,,<=50K
902-90-2902,30.0,Some-college,Divorced,Not-in-family,Male,<=50K
840-84-0840,67.0,,Married-civ-spouse,,Male,
747-74-7747,42.0,HS-grad,Married-civ-spouse,,Male,
802-80-2802,79.0,Bachelors,,Not-in-family,Female,<=50K
156-15-6156,25.0,,,,Female,
856-85-6856,41.0,,Married-civ-spouse,Husband,,>50K
893-89-3893,32.0,Bachelors,Married-civ-spouse,,Female,<=50K
981-98-1981,31.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
991-99-1991,39.0,Assoc-voc,,Husband,,<=50K
146-14-6146,36.0,Some-college,Divorced,Unmarried,,<=50K
320-32-0320,33.0,Some-college,Married-civ-spouse,,Female,>50K
714-71-4714,,HS-grad,Married-civ-spouse,Own-child,Female,>50K
676-67-6676,52.0,11th,,,Male,<=50K
324-32-4324,51.0,HS-grad,Married-civ-spouse,Husband,Male,
619-61-9619,30.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
929-92-9929,43.0,Assoc-voc,Married-civ-spouse,,,>50K
496-49-6496,55.0,,,Husband,,>50K
561-56-1561,55.0,1st-4th,Widowed,Unmarried,Female,<=50K
297-29-7297,34.0,,Married-civ-spouse,Husband,,>50K
362-36-2362,55.0,,Married-civ-spouse,Husband,,<=50K
946-94-6946,51.0,Some-college,,,Female,>50K
394-39-4394,21.0,Some-college,Never-married,Own-child,Female,
875-87-5875,65.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
770-77-0770,38.0,,Married-civ-spouse,Husband,Male,>50K
782-78-2782,39.0,HS-grad,Married-civ-spouse,,Male,<=50K
851-85-1851,38.0,Some-college,Divorced,Unmarried,Male,
560-56-0560,40.0,Bachelors,Never-married,,Male,<=50K
583-58-3583,44.0,HS-grad,Separated,Not-in-family,,<=50K
327-32-7327,42.0,Some-college,Married-civ-spouse,Wife,Female,
645-64-5645,67.0,11th,Married-civ-spouse,Husband,,>50K
591-59-1591,45.0,Assoc-acdm,,Husband,Male,<=50K
379-37-9379,33.0,,Never-married,Unmarried,Female,<=50K
319-31-9319,38.0,HS-grad,Divorced,Unmarried,Female,
190-19-0190,58.0,HS-grad,,Husband,Male,>50K
338-33-8338,34.0,HS-grad,Divorced,Not-in-family,Male,<=50K
122-12-2122,25.0,Assoc-voc,Divorced,Unmarried,Female,<=50K
659-65-9659,20.0,9th,Never-married,Own-child,Male,<=50K
700-70-0700,66.0,HS-grad,Married-civ-spouse,Husband,Male,
271-27-1271,,,,Unmarried,Female,<=50K
744-74-4744,23.0,HS-grad,Never-married,,,
719-71-9719,34.0,HS-grad,Divorced,,Female,<=50K
314-31-4314,27.0,Assoc-acdm,,,Male,<=50K
459-45-9459,21.0,HS-grad,Never-married,Own-child,Female,
526-52-6526,86.0,,,,Male,<=50K
282-28-2282,18.0,HS-grad,Divorced,Own-child,Male,<=50K
168-16-8168,,Masters,Divorced,Own-child,Male,<=50K
656-65-6656,23.0,,Never-married,Not-in-family,,<=50K
654-65-4654,63.0,Some-college,Married-spouse-absent,,Female,<=50K
517-51-7517,40.0,,Married-civ-spouse,Husband,Male,>50K
808-80-8808,34.0,Masters,Married-civ-spouse,Husband,Male,<=50K
951-95-1951,33.0,Bachelors,Married-civ-spouse,Husband,Male,
973-97-3973,50.0,,Married-civ-spouse,,,<=50K
518-51-8518,31.0,Assoc-acdm,,Husband,,<=50K
481-48-1481,48.0,Some-college,Married-civ-spouse,Wife,Female,
811-81-1811,40.0,,Divorced,Not-in-family,Male,<=50K
088-08-8088,41.0,Bachelors,Divorced,,,<=50K
